service_id,date,exception_type
6074:TEC:BW:54,20180823,1
6074:TEC:BW:1,20180528,1
6074:TEC:BW:1,20180529,1
6074:TEC:BW:1,20180531,1
6074:TEC:BW:3,20180528,1
6074:TEC:BW:2,20180529,1
6074:TEC:BW:2,20180531,1
6074:TEC:BW:5,20180529,1
6074:TEC:BW:7,20180528,1
6074:TEC:BW:7,20180529,1
6074:TEC:BW:7,20180531,1
6074:TEC:BW:6,20180531,1
6074:TEC:BW:46,20180529,1
6074:TEC:BW:46,20180530,1
6074:TEC:BW:46,20180531,1
6074:TEC:BW:46,20180601,1
6074:TEC:BW:46,20180605,1
6074:TEC:BW:46,20180606,1
6074:TEC:BW:46,20180607,1
6074:TEC:BW:46,20180608,1
6074:TEC:BW:46,20180612,1
6074:TEC:BW:46,20180613,1
6074:TEC:BW:46,20180614,1
6074:TEC:BW:46,20180615,1
6074:TEC:BW:46,20180619,1
6074:TEC:BW:46,20180620,1
6074:TEC:BW:46,20180621,1
6074:TEC:BW:46,20180622,1
6074:TEC:BW:46,20180626,1
6074:TEC:BW:46,20180627,1
6074:TEC:BW:46,20180628,1
6074:TEC:BW:46,20180629,1
6074:TEC:BW:47,20180528,1
6074:TEC:BW:47,20180529,1
6074:TEC:BW:47,20180531,1
6074:TEC:BW:47,20180601,1
6074:TEC:BW:47,20180604,1
6074:TEC:BW:47,20180605,1
6074:TEC:BW:47,20180607,1
6074:TEC:BW:47,20180608,1
6074:TEC:BW:47,20180611,1
6074:TEC:BW:47,20180612,1
6074:TEC:BW:47,20180614,1
6074:TEC:BW:47,20180615,1
6074:TEC:BW:47,20180618,1
6074:TEC:BW:47,20180619,1
6074:TEC:BW:47,20180621,1
6074:TEC:BW:47,20180622,1
6074:TEC:BW:47,20180625,1
6074:TEC:BW:47,20180626,1
6074:TEC:BW:47,20180628,1
6074:TEC:BW:47,20180629,1
6074:TEC:BW:53,20180702,1
6074:TEC:BW:53,20180703,1
6074:TEC:BW:53,20180704,1
6074:TEC:BW:53,20180705,1
6074:TEC:BW:53,20180706,1
6074:TEC:BW:53,20180709,1
6074:TEC:BW:53,20180710,1
6074:TEC:BW:53,20180711,1
6074:TEC:BW:53,20180712,1
6074:TEC:BW:53,20180713,1
6074:TEC:BW:53,20180716,1
6074:TEC:BW:53,20180717,1
6074:TEC:BW:53,20180718,1
6074:TEC:BW:53,20180719,1
6074:TEC:BW:53,20180720,1
6074:TEC:BW:53,20180723,1
6074:TEC:BW:53,20180724,1
6074:TEC:BW:53,20180725,1
6074:TEC:BW:53,20180726,1
6074:TEC:BW:53,20180727,1
6074:TEC:BW:53,20180730,1
6074:TEC:BW:53,20180731,1
6074:TEC:BW:53,20180801,1
6074:TEC:BW:53,20180802,1
